"","Reporter.Countries","Partner.Countries","Value_YearMean","LongitudeReport","LatitudeReport","LongitudePartner","LatitudePartner"
"228","Brazil","Iceland",139,-53.09783113,-10.78777702,-18.57396167,64.99575386
"229","Brazil","India",251.8,-53.09783113,-10.78777702,79.6119761,22.88578212
"230","Brazil","Indonesia",3685.4,-53.09783113,-10.78777702,117.2401137,-2.21505456
"231","Brazil","Iran (Islamic Republic of)",91.6,-53.09783113,-10.78777702,54.27407004,32.57503292
"232","Brazil","Iraq",28.4,-53.09783113,-10.78777702,43.74353149,33.03970582
"233","Brazil","Ireland",1581.8,-53.09783113,-10.78777702,-8.13793569,53.1754487
"234","Brazil","Israel",5740,-53.09783113,-10.78777702,35.00444693,31.46110101
"235","Brazil","Italy",184703.8,-53.09783113,-10.78777702,12.07001339,42.79662641
"236","Brazil","Japan",128400.6,-53.09783113,-10.78777702,138.0308956,37.59230135
"237","Brazil","Jordan",10247.2,-53.09783113,-10.78777702,36.77136104,31.24579091
"238","Brazil","Kuwait",169.4,-53.09783113,-10.78777702,47.58700459,29.33431262
"239","Brazil","Latvia",1430.4,-53.09783113,-10.78777702,24.91235983,56.85085163
"240","Brazil","Lebanon",24505,-53.09783113,-10.78777702,35.88016072,33.92306631
"241","Brazil","Liberia",0.2,-53.09783113,-10.78777702,-9.32207573,6.45278492
"242","Brazil","Libya",1933.6,-53.09783113,-10.78777702,18.00866169,27.03094495
"243","Brazil","Lithuania",195.8,-53.09783113,-10.78777702,23.88719355,55.32610984
"244","Brazil","Madagascar",3.8,-53.09783113,-10.78777702,46.70473674,-19.37189587
"245","Brazil","Malaysia",6759.2,-53.09783113,-10.78777702,109.6976228,3.78986846
"246","Brazil","Maldives",0.2,-53.09783113,-10.78777702,73.45713004,3.7287092
"247","Brazil","Malta",4.4,-53.09783113,-10.78777702,14.40523316,35.92149632
"248","Brazil","Marshall Islands",0.2,-53.09783113,-10.78777702,170.3397612,7.00376358
"249","Brazil","Mexico",27131.4,-53.09783113,-10.78777702,-102.5234517,23.94753724
"250","Brazil","Mongolia",1.6,-53.09783113,-10.78777702,103.0529977,46.82681544
"251","Brazil","Montenegro",6154.8,-53.09783113,-10.78777702,19.23883939,42.78890259
"252","Brazil","Morocco",725,-53.09783113,-10.78777702,-8.45615795,29.83762955
"253","Brazil","Netherlands",31086.4,-53.09783113,-10.78777702,5.28144793,52.1007899
"254","Brazil","New Zealand",2339.4,-53.09783113,-10.78777702,171.4849235,-41.81113557
"255","Brazil","Nicaragua",23,-53.09783113,-10.78777702,-85.0305297,12.84709429
"256","Brazil","North Macedonia",3.8,-53.09783113,-10.78777702,21.68211346,41.59530893
"257","Brazil","Norway",13752.2,-53.09783113,-10.78777702,15.34834656,68.75015572
"258","Brazil","Oman",364.8,-53.09783113,-10.78777702,56.09166155,20.60515333
"259","Brazil","Palestine",7.6,-53.09783113,-10.78777702,35.19628705,31.91613893
